Date,ALTR.LS,BCP.LS,COR.LS,EDP.LS,EDPR.LS,EGL.LS,GALP.LS,JMT.LS,NBA.LS,NOS.LS,NVG.LS,PHR.LS,RENE.LS,SEM.LS,SON.LS
2012-01-02,1.1829999685287476,0.6909059882164001,1.399999976158142,2.4600000381469727,4.763000011444092,1.0499999523162842,11.739999771118164,13.024999618530273,2.0899999141693115,2.4700000286102295,1.8700000047683716,4.491000175476074,1.973471999168396,5.46999979019165,0.46799999475479126
2012-01-03,1.2289999723434448,0.7247260212898254,1.3899999856948853,2.4630000591278076,4.71999979019165,1.0420000553131104,12.364999771118164,13.125,2.049999952316284,2.619999885559082,1.8940000534057617,4.550000190734863,1.9517860412597656,5.455999851226807,0.4729999899864197
2012-01-04,1.187999963760376,0.6377589702606201,1.3799999952316284,2.4700000286102295,4.684999942779541,1.0410000085830688,12.300000190734863,13.0,2.0,2.444999933242798,1.8550000190734863,4.434000015258789,1.8857829570770264,5.449999809265137,0.46299999952316284
2012-01-05,1.1619999408721924,0.584613025188446,1.350000023841858,2.4000000953674316,4.699999809265137,1.034999966621399,12.255000114440918,13.045000076293945,2.009999990463257,2.375999927520752,1.843999981880188,4.389999866485596,1.8395819664001465,5.349999904632568,0.4490000009536743
2012-01-06,1.1770000457763672,0.6570850014686584,1.350000023841858,2.4040000438690186,4.859000205993652,1.0449999570846558,12.710000038146973,13.0600004196167,2.0,2.4049999713897705,1.8619999885559082,4.380000114440918,1.8857829570770264,5.493000030517578,0.44999998807907104
2012-01-09,1.1629999876022339,0.6812430024147034,1.350000023841858,2.38100004196167,4.78000020980835,1.034999966621399,12.630000114440918,13.175000190734863,2.0,2.4110000133514404,1.8279999494552612,4.301000118255615,1.8933260440826416,5.300000190734863,0.453000009059906
2012-01-10,1.1710000038146973,0.6715800166130066,1.350000023841858,2.3519999980926514,4.760000228881836,1.034999966621399,12.789999961853027,13.020000457763672,2.0399999618530273,2.437999963760376,1.8459999561309814,4.269999980926514,1.9687579870224,5.269999980926514,0.46000000834465027
2012-01-11,1.1759999990463257,0.6329280138015747,1.350000023841858,2.3440001010894775,4.644999980926514,1.0399999618530273,12.470000267028809,12.885000228881836,2.0299999713897705,2.4600000381469727,1.8619999885559082,4.328999996185303,1.9470709562301636,5.243000030517578,0.4569999873638153
2012-01-12,1.1770000457763672,0.6522539854049683,1.350000023841858,2.369999885559082,4.650000095367432,1.034999966621399,12.399999618530273,12.654999732971191,2.059999942779541,2.49399995803833,1.850000023841858,4.300000190734863,1.9565000534057617,5.25600004196167,0.46000000834465027
2012-01-13,1.1690000295639038,0.6425909996032715,1.399999976158142,2.3540000915527344,4.5,1.0360000133514404,12.260000228881836,12.704999923706055,2.0899999141693115,2.505000114440918,1.8739999532699585,4.269000053405762,1.9612150192260742,5.185999870300293,0.45100000500679016
2012-01-16,1.1610000133514404,0.6425909996032715,1.399999976158142,2.3440001010894775,4.429999828338623,1.0360000133514404,11.960000038146973,12.619999885559082,2.0799999237060547,2.502000093460083,1.8700000047683716,4.21999979019165,1.9470709562301636,5.324999809265137,0.44999998807907104
2012-01-17,1.156999945640564,0.6522539854049683,1.3799999952316284,2.3589999675750732,4.3429999351501465,1.034999966621399,12.199999809265137,12.574999809265137,2.0399999618530273,2.5299999713897705,1.8550000190734863,4.199999809265137,1.9565000534057617,5.302999973297119,0.453000009059906
2012-01-18,1.1419999599456787,0.6667479872703552,1.350000023841858,2.2699999809265137,4.369999885559082,1.0399999618530273,12.180000305175781,12.420000076293945,2.0,2.619999885559082,1.8550000190734863,4.119999885559082,1.9499000310897827,5.335000038146973,0.44999998807907104
2012-01-19,1.1749999523162842,0.6812430024147034,1.350000023841858,2.299999952316284,4.360000133514404,1.0399999618530273,12.414999961853027,12.649999618530273,2.0,2.628999948501587,1.8569999933242798,4.150000095367432,1.9536709785461426,5.301000118255615,0.45500001311302185
2012-01-20,1.1510000228881836,0.6715800166130066,1.350000023841858,2.2899999618530273,4.380000114440918,1.034999966621399,12.420000076293945,12.975000381469727,2.0,2.6050000190734863,1.8389999866485596,4.179999828338623,1.9517860412597656,5.281000137329102,0.4519999921321869
2012-01-23,1.1770000457763672,0.6667479872703552,1.3899999856948853,2.243000030517578,4.340000152587891,1.055999994277954,12.579999923706055,12.864999771118164,1.9900000095367432,2.5920000076293945,1.8519999980926514,4.150000095367432,1.988558053970337,5.423999786376953,0.46299999952316284
2012-01-24,1.149999976158142,0.661916971206665,1.350000023841858,2.242000102996826,4.449999809265137,1.0410000085830688,12.779999732971191,12.795000076293945,2.049999952316284,2.5460000038146973,1.840000033378601,4.050000190734863,1.994215965270996,5.3460001945495605,0.46299999952316284
2012-01-25,1.1440000534057617,0.6570850014686584,1.3799999952316284,2.2109999656677246,4.289000034332275,1.034999966621399,12.880000114440918,12.859999656677246,2.0199999809265137,2.4730000495910645,1.8509999513626099,4.02400016784668,1.9763009548187256,5.341000080108643,0.4560000002384186
2012-01-26,1.156999945640564,0.676410973072052,1.350000023841858,2.240999937057495,4.320000171661377,1.0399999618530273,13.100000381469727,12.824999809265137,2.0299999713897705,2.5299999713897705,1.8600000143051147,4.03000020980835,1.980072021484375,5.390999794006348,0.45500001311302185
2012-01-27,1.1540000438690186,0.6812430024147034,1.350000023841858,2.2190001010894775,4.400000095367432,1.0399999618530273,12.760000228881836,12.829999923706055,2.0899999141693115,2.555999994277954,1.8550000190734863,3.9709999561309814,1.9659290313720703,5.304999828338623,0.4569999873638153
