Date,^GSPE,^SP500-15,^SP500-20,^SP500-25,^SP500-30,^SP500-35,^SP500-40,^SP500-45,^SP500-50,^SP500-55
1995-01-03,0.0038875537363917937,0.001506190695800194,0.0005994524365931376,0.009734081343202163,-0.0027943990800868685,0.001906621265453543,0.00994530054350424,0.003332005533159787,9.989511775194196e-05,0.006663996049773641
1995-01-04,0.0,0.00040105189877765227,0.003594178991561049,0.0032796083547251328,-0.00930744918152752,0.00040065021028213785,-0.0005908930200395751,-0.0020127258942196032,-0.00179892374143199,-0.004643822003306699
1995-01-05,-0.0025816913771629212,0.010022048629323974,0.004078826858353819,-0.0002971647370356593,-0.001515320023396091,-0.004805724276515603,0.0020691603989837397,0.010587910367498794,-0.009211035184663359,0.0022831383939934838
1995-01-06,-0.001393722189166153,0.0038698094301679495,0.0012879941843347282,-0.0004953965841298007,0.0,-0.006539250662985932,0.0009833442135354315,0.00708440506709939,0.0007073534303943023,-0.0020798165983343334
1995-01-09,-0.003289743890855922,0.0033607193183633204,0.0034633496138043577,-0.004659474649603407,-0.0011128387801737007,0.0020252855518196203,0.002750479085491935,0.021599131066920137,-0.0006058523612371591,0.0009924421595971474
1995-01-10,-0.008301678367538553,0.00630479141148606,0.002761056791101302,0.0029880021693620695,0.0006076932700674977,0.0017180980655185744,-0.0013714673504820315,-0.0028125391699224717,-0.0022229081336729724,-0.002379514795926935
1995-01-11,0.00020168071365270703,-0.0009789375685497167,0.002851813438537797,0.0006951310520912649,0.001822049838117672,-0.008171964946966396,-0.00451244921969722,0.00787782105619403,-0.003240503238726266,0.002087051070765248
1995-01-12,0.00544520445192912,0.006663403085161086,0.007550466931947344,0.007839644158425212,0.00949785217552988,0.008747844895825509,0.0239456072604648,0.0060793679389171355,0.01005788743980603,0.0040662107038519245
1995-01-13,-0.0017049259904344486,0.002433563631175786,0.009440401174726278,0.0031508438609364775,0.0021018824619691,0.008974482263599932,0.018381252674436396,0.009879136372460798,0.013779951436470287,0.009383688242615956
1995-01-16,0.008237891172214226,0.0026218356405620325,0.0013497819899802776,0.00039262776409234505,0.0026967302802598414,0.004397386089766699,-0.007276475574437822,0.0018045630140955762,-0.0015874953929554477,0.005284283223664367
