Date,ADS.DE,ALV.DE,BAS.DE,BAYN.DE,BMW.DE,CON.DE,DB1.DE,DBK.DE,DPW.DE,DTE.DE,DWNI.DE,EOAN.DE,FME.DE,FRE.DE,HEI.DE,HEN3.DE,IFX.DE,LIN.DE,MRK.DE,MTX.DE,MUV2.DE,RWE.DE,SAP.DE,SIE.DE,VOW3.DE
2020-09-29 00:00:00,281.20001220703125,164.8800048828125,52.34000015258789,53.5099983215332,62.0,92.13999938964844,151.1999969482422,7.073999881744385,39.47999954223633,14.274999618530273,42.40999984741211,9.390000343322754,72.4000015258789,38.650001525878906,52.08000183105469,89.33999633789062,24.184999465942383,202.3000030517578,125.19999694824219,141.9499969482422,218.10000610351562,32.0,134.16000366210938,108.63999938964844,138.74000549316406
2020-09-30 00:00:00,276.1000061035156,163.6199951171875,51.97999954223633,53.310001373291016,61.9900016784668,92.4800033569336,149.8000030517578,7.190000057220459,38.900001525878906,14.289999961853027,42.689998626708984,9.428000450134277,72.0199966430664,38.83000183105469,52.31999969482422,89.31999969482422,24.114999771118164,201.89999389648438,124.55000305175781,142.0,216.60000610351562,31.979999542236328,132.75999450683594,107.87999725341797,137.39999389648438
2020-10-01 00:00:00,278.8999938964844,162.17999267578125,51.369998931884766,46.34000015258789,62.65999984741211,95.30000305175781,148.1999969482422,7.099999904632568,39.27000045776367,14.470000267028809,43.22999954223633,9.527999877929688,71.23999786376953,38.66999816894531,51.279998779296875,89.83999633789062,25.94499969482422,201.39999389648438,125.94999694824219,144.3000030517578,215.60000610351562,32.869998931884766,133.74000549316406,106.66000366210938,134.3000030517578
2020-10-02 00:00:00,276.8999938964844,162.8000030517578,52.029998779296875,44.935001373291016,62.36000061035156,96.26000213623047,148.35000610351562,7.196000099182129,39.22999954223633,14.510000228881836,43.68000030517578,9.694000244140625,70.62000274658203,38.099998474121094,51.7400016784668,89.87999725341797,25.420000076293945,199.64999389648438,127.0,141.75,216.1999969482422,33.4900016784668,132.75999450683594,105.87999725341797,132.0
2020-10-05 00:00:00,273.5,166.52000427246094,53.34000015258789,46.77000045776367,64.02999877929688,98.31999969482422,149.0,7.360000133514404,39.52000045776367,14.6899995803833,44.060001373291016,9.718000411987305,72.04000091552734,38.81999969482422,52.65999984741211,91.0,25.709999084472656,199.5,128.4499969482422,145.3000030517578,221.89999389648438,33.0,132.39999389648438,107.31999969482422,134.6999969482422
2020-10-06 00:00:00,276.20001220703125,169.02000427246094,53.95000076293945,46.29999923706055,64.8499984741211,99.58000183105469,150.5,7.78000020980835,39.66999816894531,14.699999809265137,44.04999923706055,9.767999649047852,73.27999877929688,39.15999984741211,53.65999984741211,90.9800033569336,25.75,200.39999389648438,128.35000610351562,152.0500030517578,221.8000030517578,32.81999969482422,131.4600067138672,108.91999816894531,137.47999572753906
2020-10-07 00:00:00,277.1000061035156,166.63999938964844,55.68000030517578,45.29999923706055,65.73999786376953,101.8499984741211,145.8000030517578,7.800000190734863,41.220001220703125,14.46500015258789,44.0,9.715999603271484,73.04000091552734,38.56999969482422,54.900001525878906,91.5199966430664,26.299999237060547,201.89999389648438,129.3000030517578,151.5,217.10000610351562,33.2400016784668,130.3800048828125,109.23999786376953,138.9199981689453
2020-10-08 00:00:00,277.29998779296875,167.67999267578125,57.20000076293945,46.314998626708984,65.72000122070312,102.25,148.6999969482422,7.927999973297119,40.970001220703125,14.449999809265137,44.33000183105469,9.767999649047852,73.27999877929688,39.29999923706055,56.97999954223633,92.05999755859375,26.834999084472656,202.39999389648438,130.35000610351562,156.75,220.0,33.90999984741211,132.33999633789062,110.83999633789062,137.97999572753906
2020-10-09 00:00:00,282.5,168.13999938964844,55.040000915527344,46.72999954223633,64.69999694824219,100.5,147.85000610351562,7.8429999351501465,41.279998779296875,14.395000457763672,44.61000061035156,9.744000434875488,73.0,39.459999084472656,55.939998626708984,93.33999633789062,27.510000228881836,202.6999969482422,131.0,156.25,218.5,33.61000061035156,133.05999755859375,111.55999755859375,137.66000366210938
2020-10-12 00:00:00,286.29998779296875,169.83999633789062,54.720001220703125,46.36000061035156,65.08999633789062,99.87999725341797,148.14999389648438,7.860000133514404,41.29999923706055,14.489999771118164,45.279998779296875,9.770000457763672,72.45999908447266,39.380001068115234,56.540000915527344,92.41999816894531,28.084999084472656,204.5,131.0,153.0,221.3000030517578,34.02000045776367,134.3800048828125,112.44000244140625,139.39999389648438
2020-10-13 00:00:00,286.5,166.52000427246094,54.33000183105469,44.75,64.25,98.0199966430664,146.6999969482422,7.785999774932861,41.470001220703125,14.53499984741211,44.91999816894531,9.64799976348877,71.9800033569336,38.369998931884766,55.34000015258789,91.55999755859375,27.565000534057617,202.39999389648438,130.5500030517578,150.35000610351562,217.10000610351562,33.95000076293945,134.0800018310547,111.23999786376953,138.5
2020-10-14 00:00:00,284.79998779296875,167.02000427246094,54.470001220703125,44.32500076293945,64.08000183105469,99.27999877929688,146.85000610351562,7.739999771118164,41.95000076293945,14.475000381469727,45.25,9.753999710083008,72.68000030517578,37.93000030517578,54.540000915527344,92.68000030517578,27.809999465942383,200.6999969482422,128.35000610351562,149.5500030517578,214.39999389648438,34.38999938964844,134.32000732421875,112.4000015258789,139.17999267578125
