Date,A2A.MI,AMP.MI,ATL.MI,AZM.MI,BAMI.MI,BGN.MI,BMED.MI,BPE.MI,BZU.MI,CPR.MI,DIA.MI,ENEL.MI,ENI.MI,EXO.MI,G.MI,HER.MI,IP.MI,ISP.MI,JUVE.MI,LDO.MI,MB.MI,PRY.MI,REC.MI,SPM.MI,SRG.MI,STLA.MI,STM.MI,TEN.MI,TIT.MI,TRN.MI,UCG.MI,UNI.MI
2012-01-02,0.7645000219345093,3.2699999809265137,12.649999618530273,5.90093994140625,5.679324150085449,7.244999885559082,3.0266621112823486,4.962119102478027,6.989999771118164,2.6500000953674316,19.979999542236328,3.2260000705718994,16.200000762939453,15.96998405456543,12.0600004196167,1.1288000345230103,5.380000114440918,1.3300000429153442,0.2830069959163666,2.9579999446868896,4.539999961853027,9.619623184204102,5.670000076293945,42.22085189819336,3.5119030475616455,2.4649879932403564,4.699999809265137,14.90999984741211,0.8489999771118164,2.76200008392334,21.416736602783203,5.144000053405762
2012-01-03,0.765500009059906,3.3580000400543213,12.789999961853027,5.924208164215088,5.797292232513428,7.239999771118164,3.0505099296569824,5.074079990386963,7.21999979019165,2.682499885559082,19.799999237060547,3.247999906539917,16.489999771118164,16.25998306274414,12.279999732971191,1.1129989624023438,5.309999942779541,1.3339999914169312,0.27628400921821594,3.0179998874664307,4.556000232696533,9.938666343688965,5.730000019073486,42.77473449707031,3.507869005203247,2.5553479194641113,4.941999912261963,15.300000190734863,0.8560000061988831,2.7300000190734863,20.888742446899414,5.297999858856201
2012-01-04,0.7574999928474426,3.2060000896453857,12.819999694824219,5.7054829597473145,5.6343841552734375,7.199999809265137,2.9908909797668457,4.944204807281494,7.230000019073486,2.632499933242798,19.3799991607666,3.187999963760376,16.440000534057617,16.059982299804688,12.100000381469727,1.0981849431991577,5.315000057220459,1.2829999923706055,0.2660619914531708,2.9140000343322754,4.420000076293945,9.735638618469238,5.760000228881836,43.2153205871582,3.4453370571136475,2.4942219257354736,4.803999900817871,15.34000015258789,0.8450000286102295,2.690000057220459,17.869279861450195,5.223999977111816
2012-01-05,0.7264999747276306,3.200000047683716,12.550000190734863,5.449526786804199,5.0557780265808105,6.945000171661377,2.7921600341796875,4.648628234863281,6.875,2.6050000190734863,18.860000610351562,3.0880000591278076,16.25,15.689984321594238,11.699999809265137,1.0744839906692505,5.309999942779541,1.1890000104904175,0.26781100034713745,2.7739999294281006,4.142000198364258,9.445599555969238,5.650000095367432,42.53555679321289,3.3666670322418213,2.583254098892212,4.734000205993652,15.199999809265137,0.8215000033378601,2.6459999084472656,14.783818244934082,5.01800012588501
2012-01-06,0.7225000262260437,3.1619999408721924,12.630000114440918,5.277338981628418,4.923766136169434,6.829999923706055,2.750427007675171,4.482924938201904,6.960000038146973,2.6075000762939453,18.559999465942383,3.0859999656677246,16.34000015258789,15.759984016418457,11.649999618530273,1.0586819648742676,5.315000057220459,1.1369999647140503,0.26596900820732117,2.759999990463257,4.105999946594238,9.561614990234375,5.75,42.74955749511719,3.352545976638794,2.643052101135254,4.854000091552734,15.239999771118164,0.8144999742507935,2.6659998893737793,13.140438079833984,5.050000190734863
2012-01-09,0.7164999842643738,3.0959999561309814,12.260000228881836,5.119112014770508,4.6597418785095215,6.539999961853027,2.776262044906616,4.387085914611816,6.929999828338623,2.634999990463257,19.270000457763672,3.0480000972747803,16.25,15.269984245300293,11.5,1.0507819652557373,5.309999942779541,1.1009999513626099,0.23299899697303772,2.7739999294281006,3.8239998817443848,9.513276100158691,5.664999961853027,43.60555648803711,3.3646490573883057,2.478276014328003,4.806000232696533,15.010000228881836,0.8144999742507935,2.690000057220459,11.45361042022705,4.329999923706055
2012-01-10,0.7289999723434448,3.131999969482422,12.350000381469727,5.379721164703369,4.758049011230469,6.539999961853027,2.8617160320281982,4.733717918395996,7.15500020980835,2.612499952316284,19.100000381469727,3.124000072479248,16.600000381469727,15.859984397888184,11.930000305175781,1.0586819648742676,5.369999885559082,1.1740000247955322,0.20260800421237946,2.7899999618530273,3.9779999256134033,9.890325546264648,5.630000114440918,44.47414016723633,3.400959014892578,2.6151459217071533,5.045000076293945,15.279999732971191,0.8450000286102295,2.75600004196167,12.145034790039062,4.019999980926514
2012-01-11,0.7214999794960022,3.109999895095825,11.949999809265137,5.444872856140137,4.9743242263793945,6.690000057220459,2.9193480014801025,4.926290988922119,7.139999866485596,2.565000057220459,19.209999084472656,3.0920000076293945,16.5,16.209983825683594,11.949999809265137,1.0596699714660645,5.309999942779541,1.1920000314712524,0.18888600170612335,2.9539999961853027,3.9679999351501465,10.151361465454102,5.644999980926514,44.39861297607422,3.3666670322418213,2.547374963760376,4.941999912261963,15.489999771118164,0.8504999876022339,2.7139999866485596,12.816418647766113,4.199999809265137
2012-01-12,0.7250000238418579,3.1579999923706055,11.569999694824219,5.607754230499268,5.176555156707764,6.809999942779541,3.0803189277648926,5.065123081207275,7.260000228881836,2.5850000381469727,19.8700008392334,3.121999979019165,16.40999984741211,16.659982681274414,12.239999771118164,1.0537439584732056,5.300000190734863,1.2400000095367432,0.18418900668621063,2.996000051498413,4.288000106811523,10.596087455749512,5.610000133514404,44.83919906616211,3.4251649379730225,2.6191329956054688,5.014999866485596,15.699999809265137,0.8619999885559082,2.757999897003174,14.549992561340332,4.01800012588501
2012-01-13,0.7039999961853027,3.2720000743865967,11.65999984741211,5.39368200302124,5.1063361167907715,6.784999847412109,2.984929084777832,5.168127059936523,7.650000095367432,2.552500009536743,20.6200008392334,3.0840001106262207,16.290000915527344,15.949983596801758,12.050000190734863,1.0251049995422363,5.329999923706055,1.2400000095367432,0.1473509967327118,2.9019999504089355,4.447999954223633,10.499407768249512,5.590000152587891,43.99578857421875,3.3848209381103516,2.584583044052124,4.966000080108643,15.149999618530273,0.8454999923706055,2.7200000286102295,14.620138168334961,3.921999931335449
