Date,ACS.MC,ACX.MC,ALM.MC,AMS.MC,ANA.MC,BBVA.MC,BKT.MC,CABK.MC,CIE.MC,COL.MC,ELE.MC,ENG.MC,FDR.MC,FER.MC,GRF.MC,IAG.MC,IBE.MC,IDR.MC,ITX.MC,MAP.MC,MEL.MC,MTS.MC,NTGY.MC,PHM.MC,REE.MC,REP.MC,SAB.MC,SAN.MC,SGRE.MC,SLR.MC,TEF.MC,VIS.MC
2012-01-02,23.25,10.050000190734863,5.334043025970459,12.5600004196167,68.13999938964844,6.795000076293945,3.2266600131988525,3.875,5.030463218688965,7.469998836517334,16.31999969482422,14.46500015258789,1.9700000286102295,9.432999610900879,6.570000171661377,1.781000018119812,4.9629998207092285,9.935999870300293,12.847999572753906,2.499000072479248,4.139999866485596,30.14992332458496,13.555000305175781,20.64008140563965,8.373749732971191,24.06999969482422,1.7948570251464844,5.6234002113342285,3.3499999046325684,1.1449999809265137,13.50528335571289,29.040000915527344
2012-01-03,23.600000381469727,10.279999732971191,5.157872200012207,12.829999923706055,67.0,6.835000038146973,3.206660032272339,3.819999933242798,5.012625217437744,7.258792877197266,16.264999389648438,14.59000015258789,1.934999942779541,9.557999610900879,6.574999809265137,1.8029999732971191,4.833000183105469,10.199999809265137,12.779999732971191,2.5190000534057617,4.139999866485596,30.842090606689453,13.699999809265137,20.760082244873047,8.348750114440918,23.96500015258789,1.7948570251464844,5.676184177398682,3.3489999771118164,1.1100000143051147,13.554717063903809,29.649999618530273
2012-01-04,23.145000457763672,10.260000228881836,5.108935832977295,12.75,65.01000213623047,6.633999824523926,3.197999954223633,3.869999885559082,5.017084121704102,7.042029857635498,16.059999465942383,14.350000381469727,1.909999966621399,9.484999656677246,6.512499809265137,1.809000015258789,4.7210001945495605,10.149999618530273,12.819999694824219,2.5230000019073486,4.130000114440918,30.424755096435547,13.444999694824219,22.740089416503906,8.291250228881836,24.100000381469727,1.7513749599456787,5.457507133483887,3.119999885559082,1.1150000095367432,13.268000602722168,29.440000534057617
2012-01-05,22.200000762939453,10.279999732971191,5.079575061798096,12.53499984741211,64.12999725341797,6.300000190734863,3.0339999198913574,3.749000072479248,4.994785785675049,7.10316801071167,15.5649995803833,13.9399995803833,1.9450000524520874,9.420000076293945,6.457499980926514,1.75,4.614999771118164,9.77400016784668,12.583999633789062,2.4690001010894775,3.940000057220459,30.52654457092285,13.225000381469727,23.04009246826172,8.133749961853027,23.399999618530273,1.6511240005493164,5.2114949226379395,3.0799999237060547,1.0700000524520874,12.971399307250977,28.8799991607666
2012-01-06,22.239999771118164,10.380000114440918,5.167660236358643,12.675000190734863,63.54999923706055,6.229000091552734,3.0399999618530273,3.75600004196167,5.008164882659912,7.069819927215576,15.600000381469727,14.09000015258789,1.8949999809265137,9.350000381469727,6.432499885559082,1.7649999856948853,4.585999965667725,9.895000457763672,12.609999656677246,2.490999937057495,4.059999942779541,29.946346282958984,13.170000076293945,22.980091094970703,8.148750305175781,23.325000762939453,1.6305899620056152,5.137031078338623,3.006999969482422,1.0399999618530273,12.897249221801758,29.049999237060547
2012-01-09,22.049999237060547,10.265000343322754,5.138298034667969,12.819999694824219,64.9000015258789,6.059999942779541,3.0866599082946777,3.7899999618530273,4.994785785675049,6.891963005065918,15.640000343322754,14.100000381469727,1.8799999952316284,9.461999893188477,6.494999885559082,1.7450000047683716,4.568999767303467,9.880000114440918,12.795999526977539,2.4600000381469727,4.03000020980835,29.86491584777832,12.84000015258789,22.560089111328125,8.196249961853027,23.71500015258789,1.6227389574050903,5.13231897354126,2.9800000190734863,1.0750000476837158,12.857702255249023,29.34000015258789
2012-01-10,22.5049991607666,10.375,5.138298034667969,12.895000457763672,63.119998931884766,6.284999847412109,3.1760001182556152,3.7690000534057617,5.066140174865723,6.830824851989746,15.770000457763672,14.295000076293945,1.875,9.423999786376953,6.510000228881836,1.774999976158142,4.688000202178955,10.140000343322754,13.09000015258789,2.5409998893737793,4.144999980926514,30.53672218322754,12.949999809265137,23.04009246826172,8.381250381469727,23.540000915527344,1.6227389574050903,5.4103779792785645,3.066999912261963,1.0750000476837158,13.208681106567383,29.239999771118164
2012-01-11,22.770000457763672,10.350000381469727,5.245957851409912,12.75,61.66999816894531,6.283999919891357,3.1679999828338623,3.7360000610351562,5.0706000328063965,6.413971900939941,15.675000190734863,14.40999984741211,1.875,9.25,6.635000228881836,1.8489999771118164,4.686999797821045,10.109999656677246,13.083999633789062,2.565000057220459,4.230000019073486,30.679227828979492,12.774999618530273,23.460092544555664,8.366250038146973,22.19499969482422,1.617908000946045,5.3924689292907715,3.059999942779541,1.0499999523162842,13.2333984375,29.049999237060547
2012-01-12,22.774999618530273,10.404999732971191,5.285107135772705,12.770000457763672,62.959999084472656,6.330999851226807,3.2260000705718994,3.75,5.066140174865723,6.40285587310791,15.680000305175781,14.675000190734863,1.8799999952316284,9.197999954223633,6.614999771118164,1.8450000286102295,4.660999774932861,10.1899995803833,12.946000099182129,2.561000108718872,4.320000171661377,31.116920471191406,12.819999694824219,23.460092544555664,8.662500381469727,22.030000686645508,1.6287790536880493,5.354765892028809,3.1080000400543213,1.0700000524520874,13.248228073120117,29.219999313354492
2012-01-13,22.895000457763672,10.399999618530273,5.314467906951904,13.03499984741211,63.119998931884766,6.39900016784668,3.2433300018310547,3.8399999141693115,5.079518795013428,6.269463062286377,15.390000343322754,14.489999771118164,1.8799999952316284,9.180999755859375,6.489999771118164,1.8860000371932983,4.671999931335449,10.1899995803833,12.90999984741211,2.5390000343322754,4.264999866485596,31.35103416442871,12.800000190734863,24.240095138549805,8.625,21.889999389648438,1.5943549871444702,5.419804096221924,3.0769999027252197,1.059999942779541,13.1987943649292,28.889999389648438
