Date,ABBN.SW,CFR.SW,CSGN.SW,GEBN.SW,GIVN.SW,HOLN.SW,LOGN.SW,LONN.SW,NESN.SW,NOVN.SW,PGHN.SW,ROG.SW,SCMN.SW,SGSN.SW,SIKA.SW,SLHN.SW,SREN.SW,UBSG.SW,ZURN.SW
2012-01-03,18.520000457763672,49.65999984741211,20.919300079345703,186.60000610351562,914.0,50.0,7.71999979019165,53.81742477416992,54.29999923706055,48.08907699584961,164.0,161.89999389648438,360.0,1588.0,30.53333282470703,88.69999694824219,49.130001068115234,11.529999732971191,216.0
2012-01-04,18.510000228881836,49.099998474121094,20.873525619506836,185.60000610351562,909.0,49.80952453613281,7.34499979019165,53.44690704345703,54.400001525878906,48.17747497558594,164.0,162.6999969482422,358.8999938964844,1573.0,30.316665649414062,88.44999694824219,49.150001525878906,11.569999694824219,215.60000610351562
2012-01-05,18.6200008392334,49.099998474121094,19.958019256591797,183.89999389648438,886.0,48.85714340209961,7.264999866485596,52.65956115722656,54.45000076293945,48.08907699584961,159.0,162.8000030517578,353.1000061035156,1564.0,29.833332061767578,85.69999694824219,48.75,11.1899995803833,214.10000610351562
2012-01-06,18.399999618530273,49.41999816894531,19.59181785583496,183.60000610351562,878.5,48.33333206176758,7.364999771118164,53.493221282958984,54.0,48.35427474975586,159.0,164.3000030517578,353.0,1577.0,29.733333587646484,85.30000305175781,48.04999923706055,11.09000015258789,213.6999969482422
2012-01-09,18.479999542236328,50.150001525878906,19.216461181640625,181.1999969482422,874.5,47.27619171142578,7.295000076293945,54.002681732177734,54.29999923706055,47.7787971496582,157.5,163.60000610351562,351.3999938964844,1588.0,30.0,83.0999984741211,47.810001373291016,10.699999809265137,212.1999969482422
2012-01-10,18.75,51.0,19.701679229736328,185.60000610351562,870.0,48.42856979370117,7.380000114440918,54.7900276184082,54.79999923706055,47.868080139160156,158.0,163.1999969482422,356.6000061035156,1620.0,31.28333282470703,83.9000015258789,49.33000183105469,11.079999923706055,217.39999389648438
2012-01-11,18.8799991607666,49.95000076293945,19.665058135986328,185.89999389648438,859.0,48.42856979370117,7.394999980926514,54.651084899902344,53.849998474121094,47.38100051879883,157.5,162.1999969482422,356.29998779296875,1624.0,30.66666603088379,84.4000015258789,48.97999954223633,11.119999885559082,219.60000610351562
2012-01-12,19.030000686645508,50.349998474121094,19.848159790039062,187.3000030517578,864.0,49.0,7.519999980926514,54.28056716918945,53.45000076293945,47.160003662109375,159.1999969482422,163.3000030517578,356.29998779296875,1616.0,31.316665649414062,88.8499984741211,49.5,11.390000343322754,220.10000610351562
2012-01-13,19.010000228881836,50.70000076293945,19.719989776611328,188.60000610351562,883.5,49.380950927734375,7.414999961853027,55.253173828125,53.20000076293945,46.85149002075195,158.8000030517578,162.0,356.1000061035156,1633.0,31.5,87.9000015258789,48.79999923706055,11.380000114440918,218.6999969482422
2012-01-16,19.219999313354492,52.099998474121094,19.58266258239746,189.6999969482422,875.0,48.57142639160156,7.414999961853027,55.345802307128906,53.04999923706055,47.11580276489258,159.6999969482422,164.89999389648438,357.79998779296875,1625.0,31.583332061767578,89.69999694824219,49.13999938964844,11.520000457763672,221.0
2012-01-17,19.450000762939453,51.75,20.15027618408203,190.89999389648438,872.0,49.61904525756836,7.329999923706055,56.22577667236328,53.25,47.42608642578125,158.39999389648438,163.89999389648438,360.8999938964844,1650.0,32.08333206176758,90.8499984741211,49.0,11.520000457763672,222.0
2012-01-18,19.690000534057617,52.54999923706055,20.4798583984375,191.5,881.5,49.904762268066406,7.369999885559082,56.411033630371094,53.900001525878906,47.691280364990234,159.89999389648438,165.1999969482422,366.20001220703125,1651.0,32.36666488647461,91.3499984741211,49.54999923706055,11.630000114440918,223.89999389648438
2012-01-19,20.0,53.0,21.880582809448242,193.0,889.5,51.85714340209961,7.695000171661377,57.15206527709961,53.70000076293945,47.91227722167969,163.0,165.8000030517578,366.5,1672.0,32.75,93.5,51.599998474121094,12.569999694824219,226.8000030517578
2012-01-20,19.719999313354492,52.95000076293945,22.20100975036621,190.0,880.0,51.42856979370117,7.5,56.68892288208008,53.54999923706055,46.01081466674805,163.60000610351562,163.1999969482422,368.29998779296875,1659.0,32.36666488647461,93.0999984741211,51.29999923706055,12.649999618530273,226.0
2012-01-23,19.850000381469727,53.04999923706055,22.530590057373047,191.60000610351562,881.0,52.28571319580078,7.59499979019165,56.82786560058594,53.25,45.61302185058594,163.60000610351562,163.0,367.70001220703125,1663.0,32.916664123535156,94.05000305175781,52.25,12.890000343322754,229.6999969482422
2012-01-24,19.389999389648438,52.75,22.411575317382812,190.3000030517578,869.5,51.57142639160156,7.585000038146973,56.68892288208008,53.650001525878906,45.967498779296875,163.0,164.60000610351562,360.20001220703125,1651.0,32.266666412353516,93.6500015258789,52.400001525878906,12.65999984741211,227.8000030517578
2012-01-25,19.34000015258789,52.400001525878906,22.219318389892578,190.0,865.0,52.42856979370117,7.449999809265137,49.23229217529297,53.599998474121094,44.81831359863281,162.0,160.0,359.70001220703125,1641.0,32.0,92.75,51.5,12.720000267028809,227.39999389648438
2012-01-26,19.6299991607666,52.900001525878906,22.594675064086914,192.1999969482422,864.5,53.85714340209961,6.574999809265137,47.657596588134766,53.45000076293945,44.55311584472656,162.6999969482422,160.1999969482422,362.29998779296875,1664.0,32.46666717529297,94.30000305175781,52.54999923706055,12.989999771118164,229.8000030517578
