,values
2015-08-28,5.458904957890809e-07
2015-08-31,5.004957821369828e-07
2015-09-01,5.011076115473537e-07
2015-09-02,5.012635812354208e-07
2015-09-03,5.004915855723447e-07
2015-09-04,5.012222542575771e-07
2015-09-08,5.515562233320948e-07
2015-09-09,4.276695211170314e-07
2015-09-10,5.01025972415431e-07
2015-09-11,5.000602608042167e-07
2015-09-14,5.001180858934612e-07
2015-09-15,5.025577294239507e-07
2015-09-16,5.003443613925473e-07
2015-09-17,5.012322427752236e-07
2015-09-18,6.015590446732743e-07
2015-09-21,6.019876705409098e-07
2015-09-22,5.214099149917362e-07
2015-09-23,5.026557106926927e-07
2015-09-24,5.239858594608022e-07
2015-09-25,5.012577309088001e-07
2015-09-28,5.010916103864333e-07
2015-09-29,5.016164055736354e-07
2015-09-30,5.016222151995482e-07
2015-10-01,5.018418818099055e-07
2015-10-02,5.015678491759266e-07
2015-10-05,5.014680332311112e-07
2015-10-06,5.014793148462636e-07
2015-10-07,5.014793148462636e-07
2015-10-08,5.01137130688605e-07
2015-10-09,5.015142541546007e-07
2015-10-12,5.01743009231143e-07
2015-10-13,5.0115168394022e-07
2015-10-14,5.016114856048919e-07
2015-10-15,4.627816899038333e-07
2015-10-16,5.172673089877716e-07
2015-10-19,5.012770872781965e-07
2015-10-20,5.013940442245325e-07
2015-10-21,5.032723138515535e-07
2015-10-22,5.022017795790699e-07
2015-10-23,5.017614096553519e-07
2015-10-26,6.022919222743664e-07
2015-10-27,6.030574549894605e-07
2015-10-28,6.237018586255523e-07
2015-10-29,6.02779947061507e-07
2015-10-30,6.035247190184869e-07
2015-11-02,6.232673648729996e-07
2015-11-03,6.230325973812957e-07
2015-11-04,6.027026276789396e-07
2015-11-05,6.026706588297018e-07
2015-11-06,6.231268768923386e-07
2015-11-09,6.229356441587141e-07
2015-11-10,6.03554689275074e-07
2015-11-11,6.228190862941583e-07
2015-11-12,6.022471052434469e-07
2015-11-13,6.022736445403098e-07
2015-11-16,6.021976897785787e-07
2015-11-17,6.023578846990044e-07
2015-11-18,6.023578846990044e-07
2015-11-19,6.023305685635552e-07
2015-11-20,6.420012564881207e-07
2015-11-23,6.016105373021703e-07
2015-11-24,6.016105373021703e-07
2015-11-25,6.014024548564266e-07
2015-11-27,6.014024548564266e-07
2015-11-30,6.017144135459371e-07
2015-12-01,6.018486631960619e-07
2015-12-02,6.022840027481583e-07
2015-12-03,6.028822548641582e-07
2015-12-04,6.229074187347872e-07
2015-12-07,6.025148375273374e-07
2015-12-08,6.024198497214409e-07
2015-12-09,6.233252555451386e-07
2015-12-10,6.030074117340748e-07
2015-12-11,6.030074117340747e-07
2015-12-14,6.034764559201468e-07
2015-12-15,6.031627120875769e-07
2015-12-16,6.031627120875765e-07
2015-12-17,6.23153659343918e-07
2015-12-18,6.233020434543778e-07
2015-12-21,6.032665587703642e-07
2015-12-22,6.025867391066531e-07
2015-12-23,6.029119945704127e-07
2015-12-24,6.029593697336138e-07
2015-12-28,6.026231685790701e-07
2015-12-29,6.040570952927481e-07
2015-12-30,6.028688656336635e-07
2015-12-31,6.02586739106653e-07
2016-01-04,6.524599049586764e-07
2016-01-05,6.483873969903169e-07
2016-01-06,6.234539644850647e-07
2016-01-07,6.029192154777014e-07
2016-01-08,6.03039373184557e-07
2016-01-11,6.230068973663661e-07
2016-01-12,6.23006897366366e-07
2016-01-13,9.87600545419233e-07
2016-01-14,8.483776873584638e-07
2016-01-15,5.679468962223343e-07
2016-01-18,8.868907596488078e-07
2016-01-19,5.229270050982447e-07
2016-01-20,5.223705859163182e-07
2016-01-21,5.682296741798329e-07
2016-01-22,9.327031254375168e-07
2016-01-25,5.680726886068125e-07
2016-01-26,5.688738784468928e-07
2016-01-27,5.687749955680326e-07
2016-01-28,5.428488159754395e-07
2016-01-29,5.428488159754395e-07
2016-02-01,5.42857613439479e-07
2016-02-02,5.886319562328309e-07
2016-02-03,5.712675609279045e-07
2016-02-04,5.710580775715678e-07
2016-02-05,5.716053831877903e-07
2016-02-08,5.709904033972791e-07
2016-02-09,5.692736826020708e-07
2016-02-10,5.713957208124773e-07
2016-02-11,5.706170256095521e-07
2016-02-12,5.706269922815707e-07
2016-02-16,5.920506109049189e-07
2016-02-17,9.360665573664297e-07
2016-02-18,9.353320503981384e-07
2016-02-19,9.353578638884634e-07
2016-02-22,9.353406460022563e-07
2016-02-23,5.708689058604391e-07
2016-02-24,5.701354817165357e-07
2016-02-25,5.924928659064242e-07
2016-02-26,9.36072787047228e-07
2016-02-29,9.353303874115713e-07
2016-03-01,5.92441407696883e-07
2016-03-02,5.925066209006726e-07
2016-03-03,9.360994960526741e-07
2016-03-04,5.887141008497496e-07
