,values
2014-03-12,1.0810993393047953e-05
2014-03-13,1.0973067127980534e-05
2014-03-14,1.0887292330473074e-05
2014-03-17,1.1213946639868079e-05
2014-03-18,1.1133159475121839e-05
2014-03-19,1.0844297327925133e-05
2014-03-20,1.0859045790302203e-05
2014-03-21,1.097229236777534e-05
2014-03-24,1.106425030149856e-05
2014-03-25,1.1091340515603794e-05
2014-03-26,1.118512320944776e-05
2014-03-27,1.1129765740163008e-05
2014-03-28,1.0477824259488054e-05
2014-03-31,1.061310633759268e-05
2014-04-01,1.0652702150832283e-05
2014-04-02,1.0709273474190403e-05
2014-04-03,1.0640734371515892e-05
2014-04-04,1.0430309754810045e-05
2014-04-07,1.0515054861875198e-05
2014-04-08,1.4401750335417315e-05
2014-04-09,1.4574095931873004e-05
2014-04-10,1.422959180164087e-05
2014-04-11,1.4224682644369187e-05
2014-04-14,1.4096695621811166e-05
2014-04-15,1.4069622340307554e-05
2014-04-16,1.2049117291942192e-05
2014-04-17,1.2140986638717218e-05
2014-04-22,1.2279157921784548e-05
2014-04-23,1.0710158636338212e-05
2014-04-24,1.0695839656683326e-05
2014-04-25,1.073298423025147e-05
2014-04-28,1.0688670630847062e-05
2014-04-29,1.0806758032224103e-05
2014-04-30,1.0743004692220718e-05
2014-05-02,1.0645338527445795e-05
2014-05-06,1.0803781813151919e-05
2014-05-07,1.070734779418296e-05
2014-05-08,1.0732969750271334e-05
2014-05-09,1.0783111079386925e-05
2014-05-12,1.0842012552656284e-05
2014-05-13,1.0846514923066294e-05
2014-05-14,1.0839492786155077e-05
2014-05-15,1.0858905671867097e-05
2014-05-16,1.0852795214656294e-05
2014-05-19,1.0922082713159469e-05
2014-05-20,1.0374111522266027e-05
2014-05-21,1.0374765589233256e-05
2014-05-22,1.0317260610618263e-05
2014-05-23,1.0392090201369504e-05
2014-05-27,1.0399901046200727e-05
2014-05-28,1.028437581611482e-05
2014-05-30,1.0419724852265707e-05
2014-06-02,1.0380785492750409e-05
2014-06-03,1.0392304311322331e-05
2014-06-04,1.026984481928033e-05
2014-06-05,1.0264936316728097e-05
2014-06-06,1.0383713414067829e-05
2014-06-10,1.0396042389563048e-05
2014-06-11,1.0480198404424391e-05
2014-06-12,1.0485504189045886e-05
2014-06-13,1.0419385713488062e-05
2014-06-16,1.032982242559673e-05
2014-06-17,1.0295878918746154e-05
2014-06-18,1.0325027533314252e-05
2014-06-19,1.0188977354581001e-05
2014-06-20,1.0186066026506111e-05
2014-06-23,9.638417400660766e-06
2014-06-24,9.591231337326997e-06
2014-06-25,9.280165177510093e-06
2014-06-26,9.262873993823063e-06
2014-06-27,9.315243476677975e-06
2014-06-30,9.200721437716855e-06
2014-07-01,9.200023978596774e-06
2014-07-02,9.188762290495203e-06
2014-07-03,9.226679291011444e-06
2014-07-04,9.951332607912915e-06
2014-07-07,9.964071117724556e-06
2014-07-08,9.837957559484693e-06
2014-07-09,9.814082626983922e-06
2014-07-10,9.980792106403616e-06
2014-07-11,9.338724813451044e-06
2014-07-14,9.338204288322394e-06
2014-07-15,9.86927315946015e-06
2014-07-16,9.861327532744954e-06
2014-07-17,9.747853877362322e-06
2014-07-18,9.690447950090402e-06
2014-07-21,9.922247567680341e-06
2014-07-22,9.928749739253081e-06
2014-07-23,9.352693023659853e-06
2014-07-24,9.251766682405284e-06
2014-07-25,9.142102341136086e-06
2014-07-28,8.928728459423713e-06
2014-07-29,8.890275972221214e-06
2014-07-30,8.489686761766822e-06
2014-07-31,8.65414589592463e-06
2014-08-04,8.527554019229095e-06
2014-08-05,8.291593722542422e-06
2014-08-06,8.341374231573141e-06
2014-08-07,8.423742849765522e-06
2014-08-08,8.482197222494598e-06
2014-08-11,8.54107919268596e-06
2014-08-12,8.616630271980467e-06
2014-08-13,8.589384619429388e-06
2014-08-14,8.644721166692851e-06
2014-08-18,8.535378864415132e-06
2014-08-19,8.610119498806696e-06
2014-08-20,8.559752230084868e-06
2014-08-21,8.63644223650488e-06
2014-08-22,8.6189009173257e-06
2014-08-26,8.797442215984136e-06
2014-08-27,8.76890108534802e-06
2014-08-28,9.38176622608663e-06
2014-08-29,9.37468714150969e-06
2014-09-01,8.775672088573891e-06
2014-09-02,8.773172566402042e-06
2014-09-03,8.764873288046452e-06
2014-09-04,8.7466158742055e-06
2014-09-05,8.710460906122966e-06
2014-09-08,8.65808115011162e-06
2014-09-09,8.680710715296099e-06
2014-09-10,8.437143233184667e-06
2014-09-11,8.394845828945693e-06
2014-09-12,8.316860850624908e-06
2014-09-15,8.314629203736334e-06
2014-09-16,8.280880392970632e-06
2014-09-17,8.244545327557834e-06
2014-09-18,8.244316445089736e-06
2014-09-19,8.32424581469564e-06
2014-09-22,8.315451797725255e-06
2014-09-23,8.408297874255418e-06
2014-09-24,8.283236832229807e-06
2014-09-25,8.345746073448139e-06
2014-09-26,8.339919655957805e-06
2014-09-29,8.34289367334105e-06
2014-09-30,8.378462422305536e-06
2014-10-01,8.295139916720213e-06
2014-10-02,8.105642069131777e-06
2014-10-06,8.292108843314827e-06
2014-10-07,8.357378356490533e-06
2014-10-08,8.391818110989093e-06
2014-10-09,8.363122745016109e-06
2014-10-10,8.538091674992557e-06
2014-10-13,8.609956638928628e-06
2014-10-14,8.528460531633431e-06
2014-10-15,8.769928921249681e-06
2014-10-16,8.76991192559941e-06
2014-10-17,9.264224416782144e-06
2014-10-20,9.257399746275975e-06
2014-10-21,9.51624412207091e-06
2014-10-22,9.612820197509535e-06
2014-10-23,9.427593167437707e-06
2014-10-24,9.461962271644816e-06
2014-10-27,9.51274683431467e-06
2014-10-28,9.551656313989776e-06
2014-10-29,9.339938917351216e-06
2014-10-30,9.288271893871494e-06
2014-10-31,9.565928117003845e-06
2014-11-03,9.39647316307223e-06
2014-11-04,9.417138627037483e-06
2014-11-05,9.558609644057714e-06
2014-11-06,9.54273164910693e-06
2014-11-07,9.572548331835968e-06
2014-11-10,9.766733044366535e-06
2014-11-11,9.851388418991777e-06
2014-11-12,9.856486334939885e-06
2014-11-13,9.854421827679116e-06
2014-11-14,9.635493612147604e-06
