,values
2015-08-28,6.373536075843287e-06
2015-08-31,9.96243388969187e-06
2015-09-01,5.940992416740612e-06
2015-09-02,8.026831009218343e-06
2015-09-03,6.441055448004579e-06
2015-09-04,5.8001882591347e-06
2015-09-08,9.45786238179743e-06
2015-09-09,9.849693619598027e-06
2015-09-10,1.3045396958796339e-05
2015-09-11,1.3190790806239275e-05
2015-09-14,8.60208979917336e-06
2015-09-15,8.816369876633745e-06
2015-09-16,8.73249484452181e-06
2015-09-17,8.639149688186454e-06
2015-09-18,5.787487475443748e-06
2015-09-21,7.288494721712559e-05
2015-09-22,9.170113544302167e-06
2015-09-23,9.779516798963513e-06
2015-09-24,1.0401873218270943e-05
2015-09-25,1.0215313888322535e-05
2015-09-28,1.0791213132735995e-05
2015-09-29,9.773926608719942e-06
2015-09-30,8.91786050005199e-06
2015-10-01,8.729911822145568e-06
2015-10-02,1.228808975522772e-05
2015-10-05,9.158593918771146e-06
2015-10-06,7.897854103959825e-06
2015-10-07,7.687485794807657e-06
2015-10-08,8.543753371447296e-06
2015-10-09,8.51873248394887e-06
2015-10-12,8.391736130570594e-06
2015-10-13,7.447427346128572e-06
2015-10-14,8.511752952923235e-06
2015-10-15,9.909567802357784e-06
2015-10-16,8.547595831223649e-06
2015-10-19,8.191164005645314e-06
2015-10-20,8.860230345340278e-06
2015-10-21,8.481751107647317e-06
2015-10-22,1.0294702221143916e-05
2015-10-23,9.83667885008395e-06
2015-10-26,9.183125456789698e-06
2015-10-27,9.543813412647332e-06
2015-10-28,1.0297314733417147e-05
2015-10-29,9.930556085792361e-06
2015-10-30,8.946187287067127e-06
2015-11-02,8.703876401171966e-06
2015-11-03,1.0574900127841503e-05
2015-11-04,1.1381308685540093e-05
2015-11-05,1.0333119759655325e-05
2015-11-06,1.0772315976768548e-05
2015-11-09,1.0520580377043122e-05
2015-11-10,1.0466413115186595e-05
2015-11-11,1.0400366374864024e-05
2015-11-12,8.628606968770224e-06
2015-11-13,8.748943260898536e-06
2015-11-16,9.547501511531304e-06
2015-11-17,7.83960385609246e-06
2015-11-18,9.345786316519475e-06
2015-11-19,1.0867096552186605e-05
2015-11-20,1.0737687176375209e-05
2015-11-23,1.0387101274326657e-05
2015-11-24,9.101622403029096e-06
2015-11-25,1.0375007005544695e-05
2015-11-27,8.908754021895056e-06
2015-11-30,6.398925386416946e-06
2015-12-01,5.900117325306032e-06
2015-12-02,1.0650710814400403e-05
2015-12-03,9.785223680687967e-06
2015-12-04,8.758168936087887e-06
2015-12-07,8.590564941567994e-06
2015-12-08,8.286300906713492e-06
2015-12-09,1.0348140427070196e-05
2015-12-10,1.0710215780559759e-05
2015-12-11,8.40812739671205e-06
2015-12-14,8.339077719597918e-06
2015-12-15,8.7464300919291e-06
2015-12-16,7.922188333182155e-06
2015-12-17,8.20052109512819e-06
2015-12-18,1.0675925770422513e-05
2015-12-21,7.973901528697989e-06
2015-12-22,8.144469438985838e-06
2015-12-23,8.077073591427105e-06
2015-12-24,8.092951833821183e-06
2015-12-28,8.110488997366567e-06
2015-12-29,8.292887521585685e-06
2015-12-30,9.069572465979813e-06
2015-12-31,9.295167199769273e-06
2016-01-04,6.052533501548921e-06
2016-01-05,8.11786589215613e-06
2016-01-06,8.480584629713581e-06
2016-01-07,9.707989016403266e-06
2016-01-08,9.702192103524143e-06
2016-01-11,6.5700433024312545e-06
2016-01-12,5.9872225557986875e-06
2016-01-13,8.335488152393215e-06
2016-01-14,8.452155021535352e-06
2016-01-15,6.43477520111715e-06
2016-01-18,6.559251791750428e-06
2016-01-19,6.803970451214485e-06
2016-01-20,6.95647935572448e-06
2016-01-21,6.9375097974215996e-06
2016-01-22,7.1338685242430436e-06
2016-01-25,5.804786164359163e-06
2016-01-26,5.67571173737457e-06
2016-01-27,7.1115918041443905e-06
2016-01-28,8.299889737371127e-06
2016-01-29,1.0422974995543699e-05
2016-02-01,5.412899935681328e-06
2016-02-02,5.347717850547677e-06
2016-02-03,5.1003372661861605e-06
2016-02-04,5.826236506271271e-06
2016-02-05,6.251632505427691e-06
2016-02-08,4.973911859891703e-06
2016-02-09,2.4676045500560322e-05
2016-02-10,2.2818040908885326e-05
2016-02-11,2.2402455531348983e-05
2016-02-12,5.082321851020558e-06
2016-02-16,1.8495001156051466e-05
2016-02-17,1.396478317222873e-05
2016-02-18,4.973506251400389e-06
2016-02-19,2.20865772736087e-05
2016-02-22,2.1663128283517265e-05
2016-02-23,1.51684322509778e-05
2016-02-24,1.0254163267583781e-05
2016-02-25,1.1725445540956681e-05
2016-02-26,1.623576937786217e-05
2016-02-29,2.1978697644913565e-05
2016-03-01,6.115155696308507e-06
2016-03-02,8.350056185005204e-06
2016-03-03,3.814871607845687e-06
2016-03-04,2.0491301149486232e-05
2016-03-07,4.856088097420603e-06
2016-03-08,1.0747639031376706e-05
2016-03-09,1.0709857465001558e-05
2016-03-10,3.083574964801657e-05
2016-03-11,2.1374828676796927e-05
2016-03-14,2.5531878557674104e-05
2016-03-15,3.680420821324339e-06
2016-03-16,1.045460495724835e-05
2016-03-17,8.024900757331614e-06
2016-03-18,1.1463293942229181e-05
2016-03-21,1.9159082892251854e-05
2016-03-22,7.684932332245813e-06
2016-03-23,1.3556879032646847e-05
2016-03-24,7.30771585726353e-06
2016-03-28,8.685968580988894e-06
2016-03-29,8.037727528773426e-06
2016-03-30,2.372745146819126e-05
2016-03-31,2.2597591101138343e-05
2016-04-01,1.559281249955459e-05
2016-04-04,1.957622320050222e-05
2016-04-05,3.826416122451967e-06
2016-04-06,3.525634542950386e-06
2016-04-07,7.858238195521702e-06
2016-04-08,4.787250243448579e-06
2016-04-11,3.561045959219278e-06
2016-04-12,2.4405367396544646e-05
2016-04-13,5.936729249596828e-06
2016-04-14,1.4510664778770956e-05
