,values
2014-03-12,2.022028443442784e-07
2014-03-13,2.022028443442784e-07
2014-03-14,2.462931775000475e-07
2014-03-17,2.1857624298361597e-07
2014-03-18,2.3137713195370748e-07
2014-03-19,2.1831997188209028e-07
2014-03-20,1.7570822431850447e-07
2014-03-21,1.690700391418088e-07
2014-03-24,1.9497971089239177e-07
2014-03-25,1.633705634578827e-07
2014-03-26,6.601518146857666e-08
2014-03-27,6.447726626534924e-08
2014-03-28,1.5207213074141486e-07
2014-03-31,1.5207213074141486e-07
2014-04-01,1.5207213074141486e-07
2014-04-02,1.5207213074141486e-07
2014-04-03,1.519267250378311e-07
2014-04-04,1.1733316700700342e-07
2014-04-07,1.5179995351702437e-07
2014-04-08,2.187008843488377e-07
2014-04-09,1.6359698016833481e-07
2014-04-10,1.7735935907709948e-07
2014-04-11,1.5315906240354065e-07
2014-04-14,1.8188974575257307e-07
2014-04-15,1.704770188357484e-07
2014-04-16,1.6415420620937083e-07
2014-04-17,2.0074953302205874e-07
2014-04-22,1.9358692942801076e-07
2014-04-23,1.284326177456116e-07
2014-04-24,1.515877021933589e-07
2014-04-25,1.288657009933415e-07
2014-04-28,1.288657009933415e-07
2014-04-29,1.7444890331617347e-07
2014-04-30,1.7444890331617347e-07
2014-05-02,1.7444890331617347e-07
2014-05-06,1.6337973150748465e-07
2014-05-07,1.6868424511769257e-07
2014-05-08,1.4090318104567522e-07
2014-05-09,1.3374341818559491e-07
2014-05-12,1.515877021933589e-07
2014-05-13,1.5169161887145952e-07
2014-05-14,1.514961582578901e-07
2014-05-15,1.5169161887145952e-07
2014-05-16,1.4645920163910273e-07
2014-05-19,1.5169161887145952e-07
2014-05-20,1.5179995351702437e-07
2014-05-21,1.5179995351702437e-07
2014-05-22,1.5179995351702437e-07
2014-05-23,1.5301392106216592e-07
2014-05-27,1.5169161887145952e-07
2014-05-28,1.3348418744884805e-07
2014-05-30,1.3348418744884805e-07
2014-06-02,1.38094310867662e-07
2014-06-03,1.38094310867662e-07
2014-06-04,1.6525691047097112e-07
2014-06-05,1.1088465396330952e-07
2014-06-06,5.331872690625142e-08
2014-06-10,1.5258259805571196e-07
2014-06-11,1.519267250378311e-07
2014-06-12,1.5223113780137565e-07
2014-06-13,1.3761916435016837e-07
2014-06-16,1.5240428458846231e-07
2014-06-17,1.527904347236214e-07
2014-06-18,5.3250043177257395e-08
2014-06-19,1.3761916435016837e-07
2014-06-20,1.3200314733340453e-07
2014-06-23,1.3740364989150287e-07
2014-06-24,1.322761632074208e-07
2014-06-25,5.260272066667973e-08
2014-06-26,1.5480800049948243e-07
2014-06-27,1.5184950885925626e-07
2014-06-30,5.47720263918664e-08
2014-07-01,1.5184950885925626e-07
2014-07-02,2.1829222846088946e-07
2014-07-03,1.8705189898143267e-07
2014-07-04,1.530385774042533e-07
2014-07-07,1.8975511145516295e-07
2014-07-08,1.913881752656224e-07
2014-07-09,1.9650223473192143e-07
2014-07-10,1.8477091497610305e-07
2014-07-11,5.56581418736256e-08
2014-07-14,5.5002197534988595e-08
2014-07-15,5.56581418736256e-08
2014-07-16,1.738990845709245e-07
2014-07-17,5.7937396960191326e-08
2014-07-18,5.517690566527223e-08
2014-07-21,5.571494722956633e-08
2014-07-22,5.4382627205449074e-08
2014-07-23,5.440637480519078e-08
2014-07-24,5.5443177065137954e-08
2014-07-25,6.238039118511149e-08
2014-07-28,5.8322617942446324e-08
2014-07-29,5.82175997031513e-08
2014-07-30,5.4895828786993666e-08
2014-07-31,6.060771290433332e-08
2014-08-04,5.811602688946182e-08
2014-08-05,5.934388212623336e-08
2014-08-06,5.934388212623336e-08
2014-08-07,5.934388212623336e-08
2014-08-08,6.180358702667049e-08
2014-08-11,5.9219059493586994e-08
2014-08-12,6.238039118511149e-08
2014-08-13,5.6542923858627125e-08
2014-08-14,5.988824588266093e-08
2014-08-18,6.33847937673952e-08
2014-08-19,6.118476909693659e-08
2014-08-20,6.118476909693659e-08
2014-08-21,8.926417514599489e-08
2014-08-22,8.622236439512622e-08
2014-08-26,1.9823004250759645e-07
2014-08-27,6.180358702667049e-08
2014-08-28,6.33847937673952e-08
2014-08-29,2.1267311179497557e-07
2014-09-01,1.6978009908589824e-07
2014-09-02,1.6978009908589824e-07
2014-09-03,1.6978009908589824e-07
2014-09-04,1.768711776076862e-07
2014-09-05,1.6881694029305857e-07
2014-09-08,1.855254689166155e-07
2014-09-09,5.3247589002187555e-08
2014-09-10,6.348506727300395e-08
2014-09-11,1.9106803635606438e-07
2014-09-12,6.534797172515762e-08
2014-09-15,6.238039118511149e-08
2014-09-16,6.360100002410596e-08
2014-09-17,6.919785101367087e-08
2014-09-18,6.040588413882118e-08
2014-09-19,6.040588413882118e-08
2014-09-22,6.904426417847196e-08
2014-09-23,7.141660644198878e-08
2014-09-24,7.143712439555611e-08
2014-09-25,6.040588413882118e-08
2014-09-26,6.180358702667049e-08
2014-09-29,6.040588413882118e-08
2014-09-30,6.333757096080446e-08
2014-10-01,6.906084368662216e-08
2014-10-02,8.01704387284704e-08
2014-10-06,6.333757096080446e-08
2014-10-07,6.333757096080446e-08
2014-10-08,1.1601066536536208e-07
2014-10-09,1.0741021912718841e-07
2014-10-10,6.054531117361844e-08
2014-10-13,1.1519865681818538e-07
2014-10-14,1.3874912474193918e-07
2014-10-15,7.441764641512501e-08
2014-10-16,7.428421113989027e-08
2014-10-17,5.7391111103475444e-08
2014-10-20,5.587833781963029e-08
2014-10-21,5.587833781963029e-08
2014-10-22,5.587833781963029e-08
2014-10-23,5.7653264178887004e-08
2014-10-24,5.587833781963029e-08
2014-10-27,5.7653264178887004e-08
2014-10-28,5.8999432117483526e-08
2014-10-29,1.4091840956014455e-07
2014-10-30,6.054531117361844e-08
2014-10-31,5.987988642010211e-08
2014-11-03,5.987988642010211e-08
2014-11-04,5.7653264178887004e-08
2014-11-05,5.72957623386801e-08
2014-11-06,9.684354505800693e-08
2014-11-07,5.596453562451835e-08
2014-11-10,5.596453562451835e-08
2014-11-11,5.596453562451835e-08
2014-11-12,1.23048841721069e-07
2014-11-13,8.959970955904996e-08
2014-11-14,5.587833781963029e-08
2014-11-17,1.2245462975747255e-07
2014-11-18,1.236430451645881e-07
2014-11-19,1.0443157711138498e-07
2014-11-20,1.0434246280148685e-07
2014-11-21,1.0954854994957779e-07
2014-11-24,9.647371959650504e-08
2014-11-25,5.338683208811283e-08
2014-11-26,1.4804178354963674e-07
2014-11-27,1.3342960637302373e-07
2014-11-28,1.3259060313111272e-07
2014-12-01,1.0804550932655467e-07
2014-12-02,1.0439176091437515e-07
2014-12-03,1.8649267048764213e-07
2014-12-04,1.0673962229923842e-07
2014-12-05,1.1415965319178827e-07
2014-12-08,1.1234084436979992e-07
2014-12-09,1.0625929408850244e-07
2014-12-10,1.0625929408850244e-07
2014-12-11,1.0905398737874758e-07
2014-12-12,1.0636665906406363e-07
2014-12-15,1.1924893452341788e-07
2014-12-16,1.1721859917820023e-07
2014-12-17,1.3342960637302373e-07
2014-12-18,1.1347645973418412e-07
2014-12-19,1.2587816837847818e-07
2014-12-22,1.2587816837847818e-07
2014-12-23,1.0504016580660497e-07
2014-12-29,1.1651025230247003e-07
2014-12-30,1.1651025230247003e-07
2015-01-05,1.2704186979224628e-07
2015-01-06,1.0212988484428495e-07
2015-01-07,1.0268830802093368e-07
2015-01-08,1.0495200575572338e-07
2015-01-09,1.105236099622827e-07
2015-01-12,1.138167886152243e-07
2015-01-13,1.579318702995187e-07
2015-01-14,1.138167886152243e-07
2015-01-15,2.439334271808865e-07
2015-01-16,7.770543396174157e-08
2015-01-19,7.770543396174157e-08
2015-01-20,2.0974974891932342e-07
2015-01-21,1.9943407785250184e-07
2015-01-22,1.1849242721962265e-07
2015-01-23,1.1550182705038797e-07
2015-01-26,1.779830201790345e-07
2015-01-27,1.3585077903560914e-07
2015-01-28,1.1711875043065347e-07
2015-01-29,1.1550182705038797e-07
2015-01-30,1.523062105084363e-07
2015-02-02,2.0808189060265406e-07
2015-02-03,1.4600636214861035e-07
2015-02-04,8.310454707601684e-08
2015-02-05,1.1550182705038797e-07
2015-02-06,1.126247708990831e-07
2015-02-09,1.2783088980286163e-07
2015-02-10,1.6076861941412235e-07
2015-02-11,2.586529971162781e-07
2015-02-12,1.5454631983107718e-07
2015-02-13,1.4290044090957428e-07
2015-02-16,2.6433108022252555e-07
2015-02-17,2.74642534058617e-07
2015-02-18,2.6433108022252565e-07
2015-02-19,1.3492410092534e-07
2015-02-20,1.486176275326348e-07
2015-02-23,1.609580298671762e-07
2015-02-24,1.6076861941412237e-07
2015-02-25,1.3085161699796765e-07
2015-02-26,1.0329535888517811e-07
2015-02-27,1.5303857740425322e-07
2015-03-02,1.5141066578531477e-07
2015-03-03,1.5141066578531477e-07
2015-03-04,1.619643096946531e-07
2015-03-05,9.708273851344755e-08
2015-03-06,9.708273851344755e-08
2015-03-09,9.708273851344755e-08
2015-03-10,9.708273851344755e-08
2015-03-11,1.0159927930283998e-07
2015-03-12,1.5065456583664687e-07
2015-03-13,1.7161209745438172e-07
2015-03-16,1.7161209745438172e-07
2015-03-17,1.4600636214861035e-07
2015-03-18,9.78346070384212e-08
2015-03-19,1.0503361576184825e-07
2015-03-20,1.560636914790859e-07
2015-03-23,1.262533165114356e-06
2015-03-24,1.5141066578531475e-07
2015-03-25,1.7313466550134083e-07
2015-03-26,1.596611609871121e-07
2015-03-27,1.5804939423572095e-07
2015-03-30,1.5673946310300857e-07
2015-03-31,1.5315906240354065e-07
2015-04-01,1.5804939423572095e-07
2015-04-02,1.3446941935562728e-06
2015-04-07,1.650630677678432e-07
2015-04-08,1.1599249827001531e-07
2015-04-09,1.2943692331008104e-07
2015-04-10,1.3541452834994603e-07
2015-04-13,1.4489998749665273e-07
2015-04-14,1.3616077538417299e-07
2015-04-15,1.2525081799360118e-07
2015-04-16,1.32360204791631e-07
2015-04-17,1.5184950885925623e-07
2015-04-20,1.4673132178650524e-07
2015-04-21,1.5951759007639505e-06
2015-04-22,1.1411050270503697e-07
2015-04-23,1.913881752656224e-07
2015-04-24,1.609580298671762e-07
2015-04-27,1.5454631983107715e-07
2015-04-28,1.408155670431775e-07
2015-04-29,1.5769189628867645e-07
2015-04-30,1.9316270499717637e-07
2015-05-05,1.826871550434116e-07
2015-05-06,1.7359030034156954e-07
2015-05-07,1.683599297130805e-07
2015-05-08,1.758707839278604e-07
2015-05-11,1.207825558281936e-07
2015-05-12,9.072347627593431e-08
2015-05-13,9.429188395216172e-08
2015-05-15,5.719805592708455e-08
2015-05-18,1.3289351522236845e-07
2015-05-19,1.0530117943822659e-07
2015-05-20,1.4861762753263484e-07
2015-05-21,1.4548014858463152e-07
2015-05-22,1.0418741156338182e-07
2015-05-26,1.9813554617783683e-07
2015-05-27,1.9813554617783683e-07
2015-05-28,1.9813554617783683e-07
2015-05-29,1.576561603059367e-07
2015-06-01,1.8076284297131835e-07
2015-06-02,1.850414713902236e-07
2015-06-03,1.3945087528702764e-07
2015-06-04,1.2083431604065704e-07
2015-06-05,1.868157534863216e-07
2015-06-08,1.868157534863216e-07
2015-06-09,1.1844959294350482e-07
2015-06-10,1.1319838746262398e-07
2015-06-11,1.2083431604065704e-07
2015-06-12,1.7359030034156954e-07
2015-06-15,1.634612528165255e-07
2015-06-16,1.6574121591041217e-07
2015-06-17,9.684354505800691e-08
2015-06-18,1.3289351522236845e-07
2015-06-19,9.475559844134985e-08
2015-06-22,1.6008605615915266e-07
2015-06-23,1.4618917430047587e-07
2015-06-24,1.530385774042533e-07
2015-06-25,1.0589909997697658e-06
2015-06-26,1.530385774042533e-07
2015-06-29,1.059063151446724e-06
2015-06-30,8.491950439963759e-07
2015-07-01,1.3475486676368372e-07
2015-07-02,9.204194173616643e-08
2015-07-03,7.394260738613357e-07
2015-07-06,1.1441962836563334e-06
2015-07-07,5.632828827878342e-07
2015-07-08,7.91684739279645e-07
2015-07-09,8.500020577620008e-08
2015-07-10,8.490968948740615e-07
2015-07-13,8.706516703331542e-07
2015-07-14,1.2783088980286163e-07
2015-07-15,1.313678219746413e-07
2015-07-16,1.2309564330194984e-07
2015-07-17,1.313678219746413e-07
2015-07-20,1.4548014858463152e-07
2015-07-21,1.2783088980286163e-07
2015-07-22,8.706516703331543e-07
2015-07-23,7.916397921519495e-07
2015-07-24,1.2587670231542153e-07
2015-07-27,1.1729107417953846e-06
2015-07-28,6.479634879584656e-07
2015-07-29,6.480231537412971e-07
2015-07-30,1.144246229830543e-06
2015-07-31,1.3607609652339435e-07
2015-08-03,1.2783715164565393e-07
2015-08-04,6.479634879584652e-07
2015-08-05,6.479872420342639e-07
2015-08-06,4.880889660081111e-07
2015-08-07,7.9198074139159e-07
2015-08-10,1.2424971671154798e-07
2015-08-11,1.3874383517310532e-07
2015-08-12,1.484070458950405e-07
2015-08-13,1.4907078907323188e-07
2015-08-14,1.0016322464483837e-07
2015-08-17,1.5099845550764301e-07
2015-08-18,6.480610323229232e-07
2015-08-19,1.5980553137981144e-07
2015-08-20,1.248928550693736e-07
2015-08-21,1.23090451476458e-07
2015-08-24,9.12400079298862e-07
2015-08-25,1.1280693637013487e-07
2015-08-26,1.208450347978717e-07
2015-08-27,1.2504083468055394e-07
2015-08-28,1.0125447399144443e-06
2015-09-01,9.357805477949402e-07
2015-09-02,1.0071516371661492e-06
2015-09-03,1.0071516371661492e-06
2015-09-04,1.1316084517623314e-07
2015-09-07,9.427930901628928e-07
2015-09-08,9.819235145313853e-07
2015-09-09,9.123894842069005e-07
2015-09-10,9.823525228423775e-07
2015-09-11,9.823684190311742e-07
2015-09-14,9.818997976450362e-07
2015-09-15,9.818366555667872e-07
2015-09-16,1.5447275446800486e-07
2015-09-17,1.010445785894067e-06
2015-09-18,1.0071111820803838e-06
2015-09-21,9.822376305549718e-07
2015-09-22,9.823525228423775e-07
2015-09-23,1.3487230498724018e-07
2015-09-24,9.391897112338365e-07
2015-09-25,9.126402060629893e-07
2015-09-28,2.2357864541014738e-07
2015-09-29,6.898389004714686e-08
2015-09-30,2.46420605480478e-07
2015-10-01,8.498052986620779e-07
2015-10-02,8.49374528373326e-07
2015-10-05,1.5946216083574218e-07
2015-10-06,1.4530262799474836e-07
2015-10-07,9.357805477949402e-07
2015-10-08,1.4631509079176646e-07
2015-10-09,1.4239767752176154e-07
2015-10-12,8.187725653408136e-07
2015-10-13,1.7267233261500133e-07
2015-10-14,9.818366555667872e-07
2015-10-15,8.761951025680599e-07
2015-10-16,8.743975190161256e-07
2015-10-19,8.761951025680599e-07
2015-10-20,9.821889985147248e-07
