,values
2015-08-28,7.03058859004428e-08
2015-08-31,6.827561497446333e-08
2015-09-01,4.313520243470979e-07
2015-09-02,4.3206794130794944e-07
2015-09-03,6.721274916591276e-08
2015-09-04,4.324074714469759e-07
2015-09-08,4.3279109804074664e-07
2015-09-09,4.325409474888479e-07
2015-09-10,4.322895120603184e-07
2015-09-11,4.32398154531705e-07
2015-09-14,4.325066074950263e-07
2015-09-15,6.832329200930808e-08
2015-09-16,7.060907940157966e-08
2015-09-17,4.325083889155858e-07
2015-09-18,4.322841320892669e-07
2015-09-21,4.32182605830698e-07
2015-09-22,4.3197726287072483e-07
2015-09-23,7.824905299324999e-08
2015-09-24,4.3179318265364334e-07
2015-09-25,4.6439630383713387e-07
2015-09-28,4.6418932165963183e-07
2015-09-29,5.321663413433042e-08
2015-09-30,5.0052838571084436e-08
2015-10-01,4.884613647615382e-08
2015-10-02,5.375022061166011e-08
2015-10-05,5.504120778966755e-08
2015-10-06,5.183961652649599e-08
2015-10-07,5.0932783383641885e-08
2015-10-08,5.0954932176642474e-08
2015-10-09,5.006190915145645e-08
2015-10-12,5.010669240479724e-08
2015-10-13,5.0537953400876336e-08
2015-10-14,4.892816146935884e-08
2015-10-15,4.97164143590115e-08
2015-10-16,4.97164143590115e-08
2015-10-19,4.968700070317493e-08
2015-10-20,4.960180105216908e-08
2015-10-21,4.353413886111733e-08
2015-10-22,4.433865889761599e-08
2015-10-23,5.166528904679711e-08
2015-10-26,5.123567968659579e-08
2015-10-27,4.3819892067549306e-08
2015-10-28,4.537776938760056e-08
2015-10-29,4.429146119903422e-08
2015-10-30,4.373610828563585e-08
2015-11-02,4.407740050029517e-08
2015-11-03,4.325387651055336e-08
2015-11-04,4.147413745858331e-08
2015-11-05,4.1723058618942566e-08
2015-11-06,4.154162224288845e-08
2015-11-09,4.1271829700150336e-08
2015-11-10,4.172709111501879e-08
2015-11-11,4.301575983556504e-08
2015-11-12,4.174329180049206e-08
2015-11-13,4.1743291800492056e-08
2015-11-16,4.199865343458323e-08
2015-11-17,4.199865343458323e-08
2015-11-18,4.199865343458323e-08
2015-11-19,4.150792053769165e-08
2015-11-20,4.175692106609326e-08
2015-11-23,4.1494313938609204e-08
2015-11-24,4.174331446701081e-08
2015-11-25,4.15079432042104e-08
2015-11-27,4.15079432042104e-08
2015-11-30,4.149436371120682e-08
2015-12-01,4.100217798854479e-08
2015-12-02,4.124718305597925e-08
2015-12-03,4.100217798854479e-08
2015-12-04,4.227464602361776e-08
2015-12-07,4.1002177988544775e-08
2015-12-08,4.100217798854479e-08
2015-12-09,4.2038858939248694e-08
2015-12-10,4.07634820497714e-08
2015-12-11,4.011127619835142e-08
2015-12-14,4.011127619835142e-08
2015-12-15,4.0123689769685034e-08
2015-12-16,4.012368976968503e-08
2015-12-17,4.076367715842244e-08
2015-12-18,4.162872788435642e-08
2015-12-21,3.990540523260516e-08
2015-12-22,4.0784388210687026e-08
2015-12-23,4.054321304601796e-08
2015-12-24,4.054321304601796e-08
2015-12-28,4.209375750982844e-08
2015-12-29,4.209375750982844e-08
2015-12-30,4.1856203440741083e-08
2015-12-31,4.231561746402226e-08
2016-01-04,4.33443654175938e-08
2016-01-05,4.3344365417593796e-08
2016-01-06,4.292529934979344e-08
2016-01-07,4.141275467944828e-08
2016-01-08,4.141275467944828e-08
2016-01-11,4.20558359165554e-08
2016-01-12,4.204684434890831e-08
2016-01-13,4.111689277080415e-08
2016-01-14,4.312780868512205e-08
2016-01-15,4.5346944669654525e-08
2016-01-18,4.517864857430281e-08
2016-01-19,4.442320242692411e-08
