,values
2014-03-12,3.740842111470587e-05
2014-03-13,3.7105355124059585e-05
2014-03-14,3.668536327401756e-05
2014-03-17,3.695554342328199e-05
2014-03-18,3.649936607021172e-05
2014-03-19,3.701759743847047e-05
2014-03-20,3.706689852427038e-05
2014-03-21,3.7126986940089966e-05
2014-03-24,3.747637748903289e-05
2014-03-25,3.736573187330452e-05
2014-03-26,3.7811983524159224e-05
2014-03-27,3.763106858728716e-05
2014-03-28,3.652524083289284e-05
2014-03-31,3.68070015273948e-05
2014-04-01,3.691362825600403e-05
2014-04-02,3.7145424636041144e-05
2014-04-03,3.689211067738388e-05
2014-04-04,3.6772211390988786e-05
2014-04-07,3.73238772886576e-05
2014-04-08,4.2632160773032536e-05
2014-04-09,4.292213869016927e-05
2014-04-10,4.242597752562175e-05
2014-04-11,4.230699542687455e-05
2014-04-14,4.098204959256999e-05
2014-04-15,4.146328160107027e-05
2014-04-16,3.962339305663693e-05
2014-04-17,3.978028545741766e-05
2014-04-22,4.0595473731497376e-05
2014-04-23,3.7718622150023686e-05
2014-04-24,3.7506507681127053e-05
2014-04-25,3.728683526166456e-05
2014-04-28,3.762756346778309e-05
2014-04-29,3.8137364119889504e-05
2014-04-30,3.786905537578939e-05
2014-05-02,3.771326287030386e-05
2014-05-06,3.8167138008441307e-05
2014-05-07,3.797990127707349e-05
2014-05-08,3.799821476527223e-05
2014-05-09,3.827357467745062e-05
2014-05-12,3.887612682115132e-05
2014-05-13,3.884756102429651e-05
2014-05-14,3.91480597253008e-05
2014-05-15,3.94558826838431e-05
2014-05-16,3.9386773875247716e-05
2014-05-19,3.909285363496004e-05
2014-05-20,3.7553032315760376e-05
2014-05-21,3.7585835396058767e-05
2014-05-22,3.7559118862073325e-05
2014-05-23,3.809849323048956e-05
2014-05-27,3.8224292217252435e-05
2014-05-28,3.798021911663071e-05
2014-05-30,3.875944981681878e-05
2014-06-02,3.83137948984382e-05
2014-06-03,3.853244466681581e-05
2014-06-04,3.860125283478599e-05
2014-06-05,3.850375407686202e-05
2014-06-06,3.8820527199691533e-05
2014-06-10,3.918956061314996e-05
2014-06-11,3.9391496487842256e-05
2014-06-12,3.954273792595329e-05
2014-06-13,3.914779911638591e-05
2014-06-16,3.884313865785258e-05
2014-06-17,3.873715106429008e-05
2014-06-18,3.871302870088991e-05
2014-06-19,3.823213901694876e-05
2014-06-20,3.829683569833943e-05
2014-06-23,3.5978565480852085e-05
2014-06-24,3.548490338221479e-05
2014-06-25,3.4439983832489096e-05
2014-06-26,3.458955526788398e-05
2014-06-27,3.5195766803028643e-05
2014-06-30,3.487740057965098e-05
2014-07-01,3.513853219103994e-05
2014-07-02,3.512568909741388e-05
2014-07-03,3.536248710081726e-05
2014-07-04,3.665017736701238e-05
2014-07-07,3.6696149008462486e-05
2014-07-08,3.6414963206980925e-05
2014-07-09,3.690543091348125e-05
2014-07-10,3.7777836612276486e-05
2014-07-11,3.7370207959991854e-05
2014-07-14,3.724957930307711e-05
2014-07-15,3.845706507081604e-05
2014-07-16,3.8464566845013185e-05
2014-07-17,3.7992550232114786e-05
2014-07-18,3.8066004736361244e-05
2014-07-21,4.002685226411906e-05
